Date of Lead Publication,Imported By,Date Imported,Verification Status,Lead Id,Lead Title,Lead URL,Authoring Organizations Type,Author,Source,Lead Priority,Assignee,Entry Id,Lead-Entry Id,Modified Excerpt,Original Excerpt,Context - Dimension,Context - Subdimension,Population,Vulnerable groups - Level 0,Factors - Dimension,Factors - Subdimension,Malawi Polygons,Country,Country (code),District,District (code),Town,Town (code),Date,Reliability,Health Services - Dimension,Health Services - Subdimension,Outbreak - Dimension,Outbreak - Subdimension,Health and social consequences,Interventions to control the outbreak,Spread of the outbreak,Health workforce,Socio-economic status
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574048,79401-574048,"In a telephone survey assessing factors in?uencing compliance to COVID restrictions in Malawi, researchers found that Malawians are likely to observe public health of?cials’ health measures over religious clerics (Kao et al. 2021)","In a telephone survey assessing factors in?uencing compliance to COVID restrictions in Malawi, researchers found that Malawians are likely to observe public health of?cials’ health measures over religious clerics (Kao et al. 2021)",Factors,Religion and dominant beliefs,Unspecified/General population,,,,,Malawi,Malawi,,,,,26-03-2021,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574048,79401-574048,"In a telephone survey assessing factors in?uencing compliance to COVID restrictions in Malawi, researchers found that Malawians are likely to observe public health of?cials’ health measures over religious clerics (Kao et al. 2021)","In a telephone survey assessing factors in?uencing compliance to COVID restrictions in Malawi, researchers found that Malawians are likely to observe public health of?cials’ health measures over religious clerics (Kao et al. 2021)",Factors,Political context and social movements,Unspecified/General population,,,,,Malawi,Malawi,,,,,26-03-2021,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574048,79401-574048,"In a telephone survey assessing factors in?uencing compliance to COVID restrictions in Malawi, researchers found that Malawians are likely to observe public health of?cials’ health measures over religious clerics (Kao et al. 2021)","In a telephone survey assessing factors in?uencing compliance to COVID restrictions in Malawi, researchers found that Malawians are likely to observe public health of?cials’ health measures over religious clerics (Kao et al. 2021)",Factors,Religion and dominant beliefs,Unspecified/General population,,,,,Malawi,Malawi,,,,,26-03-2021,Medium,,,Response,Government measures,Increase,Enable,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574048,79401-574048,"In a telephone survey assessing factors in?uencing compliance to COVID restrictions in Malawi, researchers found that Malawians are likely to observe public health of?cials’ health measures over religious clerics (Kao et al. 2021)","In a telephone survey assessing factors in?uencing compliance to COVID restrictions in Malawi, researchers found that Malawians are likely to observe public health of?cials’ health measures over religious clerics (Kao et al. 2021)",Factors,Political context and social movements,Unspecified/General population,,,,,Malawi,Malawi,,,,,26-03-2021,Medium,,,Response,Government measures,Increase,Enable,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574047,79401-574047,"it is an epistemological misnomer to pit the two, religious freedom and economic freedom, against each other in attempting to explain the country’s unique response to the current pandemic.","it is an epistemological misnomer to pit the two, religious freedom and economic freedom, against each other in attempting to explain the country’s unique response to the current pandemic.",Factors,Religion and dominant beliefs,Unspecified/General population,,,,,Malawi,Malawi,,,,,26-03-2021,Medium,,,Disease,Covid-19,Neutral,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574047,79401-574047,"it is an epistemological misnomer to pit the two, religious freedom and economic freedom, against each other in attempting to explain the country’s unique response to the current pandemic.","it is an epistemological misnomer to pit the two, religious freedom and economic freedom, against each other in attempting to explain the country’s unique response to the current pandemic.",Factors,Livelihoods and economic relations,Unspecified/General population,,,,,Malawi,Malawi,,,,,26-03-2021,Medium,,,Disease,Covid-19,Neutral,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574046,79401-574046,"In the Malawian context, the COVID response also conjures a question about economic freedom and how religion interfaces with that right, such as religious clerics’ right to earn a livelihood unencumbered by restrictive legislation.","In the Malawian context, the COVID response also conjures a question about economic freedom and how religion interfaces with that right, such as religious clerics’ right to earn a livelihood unencumbered by restrictive legislation.",Factors,Religion and dominant beliefs,Unspecified/General population,,,,,Malawi,Malawi,,,,,31-03-2020,Medium,,,Disease,Covid-19,Neutral,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574046,79401-574046,"In the Malawian context, the COVID response also conjures a question about economic freedom and how religion interfaces with that right, such as religious clerics’ right to earn a livelihood unencumbered by restrictive legislation.","In the Malawian context, the COVID response also conjures a question about economic freedom and how religion interfaces with that right, such as religious clerics’ right to earn a livelihood unencumbered by restrictive legislation.",Factors,Livelihoods and economic relations,Unspecified/General population,,,,,Malawi,Malawi,,,,,31-03-2020,Medium,,,Disease,Covid-19,Neutral,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574045,79401-574045,The historical tension between political and civil rights and economic and social ones is a salient reality.,The historical tension between political and civil rights and economic and social ones is a salient reality.,Factors,Livelihoods and economic relations,Unspecified/General population,,,,,Malawi,Malawi,,,,,26-03-2021,Medium,,,Disease,Covid-19,Neutral,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574044,79401-574044,"In Malawi, this has become pronounced given the current public discourse on the role of religion in an uncertain legal context that is increasingly vulnerable to neo-liberal economics and religious fundamentalism.","In Malawi, this has become pronounced given the current public discourse on the role of religion in an uncertain legal context that is increasingly vulnerable to neo-liberal economics and religious",Factors,Religion and dominant beliefs,Unspecified/General population,,,,,Malawi,Malawi,,,,,26-03-2021,Medium,,,Disease,Covid-19,Neutral,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574044,79401-574044,"In Malawi, this has become pronounced given the current public discourse on the role of religion in an uncertain legal context that is increasingly vulnerable to neo-liberal economics and religious fundamentalism.","In Malawi, this has become pronounced given the current public discourse on the role of religion in an uncertain legal context that is increasingly vulnerable to neo-liberal economics and religious",Factors,Livelihoods and economic relations,Unspecified/General population,,,,,Malawi,Malawi,,,,,26-03-2021,Medium,,,Disease,Covid-19,Neutral,Neutral,Neutral,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573482,78696-573482,Informal workers in urban areas of Blantyre were more vulnerable to food insecurity as a result of their poor or low socioeconomic status.,,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,Blantyre,Blantyre,,,01-04-2021,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573482,78696-573482,Informal workers in urban areas of Blantyre were more vulnerable to food insecurity as a result of their poor or low socioeconomic status.,,Factors,Social vulnerabilities,Urban,,,,,Malawi,Malawi,Blantyre,Blantyre,,,01-04-2021,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573482,78696-573482,Informal workers in urban areas of Blantyre were more vulnerable to food insecurity as a result of their poor or low socioeconomic status.,,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,,,,,01-04-2021,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573482,78696-573482,Informal workers in urban areas of Blantyre were more vulnerable to food insecurity as a result of their poor or low socioeconomic status.,,Factors,Social vulnerabilities,Urban,,,,,Malawi,Malawi,,,,,01-04-2021,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573481,78696-573481,Eating less and skipping meals have become the possible strategies of combating the pressure of food inaccessibility and also the normal eating habits during the pandemic.,,Factors,Social vulnerabilities,Urban,,,,,Malawi,Malawi,Blantyre,Blantyre,,,,Medium,,,Disease,Covid-19,Neutral,Neutral,Neutral,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573481,78696-573481,Eating less and skipping meals have become the possible strategies of combating the pressure of food inaccessibility and also the normal eating habits during the pandemic.,,Factors,Social vulnerabilities,Urban,,,,,Malawi,Malawi,,,,,,Medium,,,Disease,Covid-19,Neutral,Neutral,Neutral,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573481,78696-573481,Eating less and skipping meals have become the possible strategies of combating the pressure of food inaccessibility and also the normal eating habits during the pandemic.,,Factors,Social vulnerabilities,Urban,,,,,Malawi,Malawi,Blantyre,Blantyre,,,,Medium,,,Response,Government measures,Neutral,Neutral,Neutral,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573481,78696-573481,Eating less and skipping meals have become the possible strategies of combating the pressure of food inaccessibility and also the normal eating habits during the pandemic.,,Factors,Social vulnerabilities,Urban,,,,,Malawi,Malawi,,,,,,Medium,,,Response,Government measures,Neutral,Neutral,Neutral,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573480,78696-573480,"“Due to little or no money, I have been fnding problems buying and eating healthy food. I mainly resort to anything that is extremely cheap” (Chisomo, sex worker)",,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,,,,,01-04-2022,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573480,78696-573480,"“Due to little or no money, I have been fnding problems buying and eating healthy food. I mainly resort to anything that is extremely cheap” (Chisomo, sex worker)",,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,,,,,01-04-2022,Medium,,,Response,Government measures,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573479,78696-573479,"“I am not making as much money as I used to make before, and this has resulted in me failing to afford buying enough relish or maize four that could last me and my family for the whole month.” (Mnatharu, Street vendor)",,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,Blantyre,Blantyre,,,,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573479,78696-573479,"“I am not making as much money as I used to make before, and this has resulted in me failing to afford buying enough relish or maize four that could last me and my family for the whole month.” (Mnatharu, Street vendor)",,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,,,,,,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573479,78696-573479,"“I am not making as much money as I used to make before, and this has resulted in me failing to afford buying enough relish or maize four that could last me and my family for the whole month.” (Mnatharu, Street vendor)",,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,Blantyre,Blantyre,,,,Medium,,,Response,Government measures,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573479,78696-573479,"“I am not making as much money as I used to make before, and this has resulted in me failing to afford buying enough relish or maize four that could last me and my family for the whole month.” (Mnatharu, Street vendor)",,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,,,,,,Medium,,,Response,Government measures,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573478,78696-573478,"“Some of us do not have enough money to buy proper food due to the closure of schools. Te owners of the schools argue that they cannot pay us our usual salaries because we are not working as the schools are closed in compliance with the government policies” (Kapadala, Teacher)",,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,Blantyre,Blantyre,,,01-04-2021,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573478,78696-573478,"“Some of us do not have enough money to buy proper food due to the closure of schools. Te owners of the schools argue that they cannot pay us our usual salaries because we are not working as the schools are closed in compliance with the government policies” (Kapadala, Teacher)",,Factors,Social vulnerabilities,Urban,,,,,Malawi,Malawi,Blantyre,Blantyre,,,01-04-2021,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573478,78696-573478,"“Some of us do not have enough money to buy proper food due to the closure of schools. Te owners of the schools argue that they cannot pay us our usual salaries because we are not working as the schools are closed in compliance with the government policies” (Kapadala, Teacher)",,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,,,,,01-04-2021,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573478,78696-573478,"“Some of us do not have enough money to buy proper food due to the closure of schools. Te owners of the schools argue that they cannot pay us our usual salaries because we are not working as the schools are closed in compliance with the government policies” (Kapadala, Teacher)",,Factors,Social vulnerabilities,Urban,,,,,Malawi,Malawi,,,,,01-04-2021,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573478,78696-573478,"“Some of us do not have enough money to buy proper food due to the closure of schools. Te owners of the schools argue that they cannot pay us our usual salaries because we are not working as the schools are closed in compliance with the government policies” (Kapadala, Teacher)",,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,Blantyre,Blantyre,,,01-04-2021,Medium,,,Response,Government measures,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573478,78696-573478,"“Some of us do not have enough money to buy proper food due to the closure of schools. Te owners of the schools argue that they cannot pay us our usual salaries because we are not working as the schools are closed in compliance with the government policies” (Kapadala, Teacher)",,Factors,Social vulnerabilities,Urban,,,,,Malawi,Malawi,Blantyre,Blantyre,,,01-04-2021,Medium,,,Response,Government measures,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573478,78696-573478,"“Some of us do not have enough money to buy proper food due to the closure of schools. Te owners of the schools argue that they cannot pay us our usual salaries because we are not working as the schools are closed in compliance with the government policies” (Kapadala, Teacher)",,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,,,,,01-04-2021,Medium,,,Response,Government measures,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573478,78696-573478,"“Some of us do not have enough money to buy proper food due to the closure of schools. Te owners of the schools argue that they cannot pay us our usual salaries because we are not working as the schools are closed in compliance with the government policies” (Kapadala, Teacher)",,Factors,Social vulnerabilities,Urban,,,,,Malawi,Malawi,,,,,01-04-2021,Medium,,,Response,Government measures,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573477,78696-573477,"With the curfew in towns, business remained open only during unprofitable
hours and shut down at the time people are available to purchase food items.",,Factors,Livelihoods and economic relations,,,,,,,,,,,,,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573477,78696-573477,"With the curfew in towns, business remained open only during unprofitable
hours and shut down at the time people are available to purchase food items.",,Factors,Livelihoods and economic relations,,,,,,,,,,,,,Medium,,,Response,Government measures,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573476,78696-573476,"We used to make a lot of money in night clubs and bars just by entertaining or dancing for the clients but now with the government’s restrictions, all these
entertainment centers are now running for a few hours and it is extremely hard to make a reasonable amount of money as we used to make before (Chamoka, Sex worker).",,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,Blantyre,Blantyre,,,,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573476,78696-573476,"We used to make a lot of money in night clubs and bars just by entertaining or dancing for the clients but now with the government’s restrictions, all these
entertainment centers are now running for a few hours and it is extremely hard to make a reasonable amount of money as we used to make before (Chamoka, Sex worker).",,Factors,Social vulnerabilities,Urban,,,,,Malawi,Malawi,Blantyre,Blantyre,,,,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573476,78696-573476,"We used to make a lot of money in night clubs and bars just by entertaining or dancing for the clients but now with the government’s restrictions, all these
entertainment centers are now running for a few hours and it is extremely hard to make a reasonable amount of money as we used to make before (Chamoka, Sex worker).",,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,,,,,,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573476,78696-573476,"We used to make a lot of money in night clubs and bars just by entertaining or dancing for the clients but now with the government’s restrictions, all these
entertainment centers are now running for a few hours and it is extremely hard to make a reasonable amount of money as we used to make before (Chamoka, Sex worker).",,Factors,Social vulnerabilities,Urban,,,,,Malawi,Malawi,,,,,,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573476,78696-573476,"We used to make a lot of money in night clubs and bars just by entertaining or dancing for the clients but now with the government’s restrictions, all these
entertainment centers are now running for a few hours and it is extremely hard to make a reasonable amount of money as we used to make before (Chamoka, Sex worker).",,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,Blantyre,Blantyre,,,,Medium,,,Response,Government measures,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573476,78696-573476,"We used to make a lot of money in night clubs and bars just by entertaining or dancing for the clients but now with the government’s restrictions, all these
entertainment centers are now running for a few hours and it is extremely hard to make a reasonable amount of money as we used to make before (Chamoka, Sex worker).",,Factors,Social vulnerabilities,Urban,,,,,Malawi,Malawi,Blantyre,Blantyre,,,,Medium,,,Response,Government measures,Increase,Enable,Discourage,,
17-03-2022,Delphyne de Peretti,02-05-2022,Uncontrolled,78696,Perceived implications of Covid-19 policy measures on food insecurity among urban residents in Blantyre Malawi,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-022-12922-6.pdf,,,BMC Public Health,Low,Delphyne de Peretti,573476,78696-573476,"We used to make a lot of money in night clubs and bars just by entertaining or dancing for the clients but now with the government’s restrictions, all these
entertainment centers are now running for a few hours and it is extremely hard to make a reasonable amount of money as we used to make before (Chamoka, Sex worker).",,Factors,Livelihoods and economic relations,Urban,,,,,Malawi,Malawi,,,,,,Medium,,,Response,Government measures,Increase,Enable,Discourage,,
